start creating config files...
update config files success
Computational complexity:       4.12 GMac
Number of parameters:           23.92 M 
no checkpoints
[0][0/750]	Loss:5.26883	Lr:0.001000	Data:0594ms	Train:0089ms	Mem:1.01Gb	Prec@1:0.0000
[0][150/750]	Loss:5.24955	Lr:0.001000	Data:0001ms	Train:0084ms	Mem:1.04Gb	Prec@1:0.0108
[0][300/750]	Loss:4.38411	Lr:0.001000	Data:0001ms	Train:0060ms	Mem:1.04Gb	Prec@1:0.0253
[0][450/750]	Loss:4.27545	Lr:0.001000	Data:0001ms	Train:0060ms	Mem:1.04Gb	Prec@1:0.0452
[0][600/750]	Loss:4.05129	Lr:0.001000	Data:0003ms	Train:0088ms	Mem:1.04Gb	Prec@1:0.0632
[0][0/725]	Loss:1.56730	Lr:0.000000	Data:0578ms	Train:0008ms	Mem:1.06Gb	Prec@1:0.7500
[0][50/725]	Loss:2.08760	Lr:0.000000	Data:0020ms	Train:0040ms	Mem:1.06Gb	Prec@1:0.4828
[0][100/725]	Loss:3.67779	Lr:0.000000	Data:0014ms	Train:0005ms	Mem:1.06Gb	Prec@1:0.3923
[0][150/725]	Loss:3.47578	Lr:0.000000	Data:0026ms	Train:0006ms	Mem:1.06Gb	Prec@1:0.3725
[0][200/725]	Loss:3.90473	Lr:0.000000	Data:0020ms	Train:0005ms	Mem:1.06Gb	Prec@1:0.3794
[0][250/725]	Loss:4.99124	Lr:0.000000	Data:0013ms	Train:0005ms	Mem:1.06Gb	Prec@1:0.3645
[0][300/725]	Loss:2.72266	Lr:0.000000	Data:0022ms	Train:0006ms	Mem:1.06Gb	Prec@1:0.3738
[0][350/725]	Loss:3.30057	Lr:0.000000	Data:0023ms	Train:0026ms	Mem:1.06Gb	Prec@1:0.3864
[0][400/725]	Loss:1.80197	Lr:0.000000	Data:0012ms	Train:0007ms	Mem:1.06Gb	Prec@1:0.3831
[0][450/725]	Loss:2.85237	Lr:0.000000	Data:0022ms	Train:0006ms	Mem:1.06Gb	Prec@1:0.3631
[0][500/725]	Loss:0.50023	Lr:0.000000	Data:0025ms	Train:0046ms	Mem:1.06Gb	Prec@1:0.3481
[0][550/725]	Loss:2.69040	Lr:0.000000	Data:0019ms	Train:0005ms	Mem:1.06Gb	Prec@1:0.3398
[0][600/725]	Loss:1.83954	Lr:0.000000	Data:0024ms	Train:0007ms	Mem:1.06Gb	Prec@1:0.3334
[0][650/725]	Loss:3.17744	Lr:0.000000	Data:0014ms	Train:0005ms	Mem:1.06Gb	Prec@1:0.3187
[0][700/725]	Loss:1.51469	Lr:0.000000	Data:0012ms	Train:0004ms	Mem:1.06Gb	Prec@1:0.3217
Train Prec@1:0.0797	Val Prec@1:0.3207
BestV Prec@1:0.3207	Best Epoch:0
[1][0/750]	Loss:3.15776	Lr:0.001000	Data:0596ms	Train:0073ms	Mem:1.06Gb	Prec@1:0.5000
[1][150/750]	Loss:3.56039	Lr:0.001000	Data:0001ms	Train:0093ms	Mem:1.06Gb	Prec@1:0.2252
[1][300/750]	Loss:2.80148	Lr:0.001000	Data:0001ms	Train:0060ms	Mem:1.06Gb	Prec@1:0.2525
[1][450/750]	Loss:3.18362	Lr:0.001000	Data:0001ms	Train:0060ms	Mem:1.06Gb	Prec@1:0.2600
[1][600/750]	Loss:2.40290	Lr:0.001000	Data:0001ms	Train:0060ms	Mem:1.06Gb	Prec@1:0.2766
[1][0/725]	Loss:0.97037	Lr:0.000000	Data:0606ms	Train:0010ms	Mem:1.06Gb	Prec@1:0.7500
[1][50/725]	Loss:0.81965	Lr:0.000000	Data:0013ms	Train:0007ms	Mem:1.06Gb	Prec@1:0.5980
[1][100/725]	Loss:1.63067	Lr:0.000000	Data:0011ms	Train:0005ms	Mem:1.06Gb	Prec@1:0.4938
[1][150/725]	Loss:2.54803	Lr:0.000000	Data:0025ms	Train:0005ms	Mem:1.06Gb	Prec@1:0.5132
[1][200/725]	Loss:4.41643	Lr:0.000000	Data:0010ms	Train:0045ms	Mem:1.06Gb	Prec@1:0.5205
[1][250/725]	Loss:3.26585	Lr:0.000000	Data:0027ms	Train:0005ms	Mem:1.06Gb	Prec@1:0.4935
[1][300/725]	Loss:0.57660	Lr:0.000000	Data:0017ms	Train:0006ms	Mem:1.06Gb	Prec@1:0.5341
[1][350/725]	Loss:1.83694	Lr:0.000000	Data:0010ms	Train:0021ms	Mem:1.06Gb	Prec@1:0.5502
[1][400/725]	Loss:2.58629	Lr:0.000000	Data:0021ms	Train:0009ms	Mem:1.06Gb	Prec@1:0.5493
[1][450/725]	Loss:2.30726	Lr:0.000000	Data:0012ms	Train:0005ms	Mem:1.06Gb	Prec@1:0.5194
[1][500/725]	Loss:0.02758	Lr:0.000000	Data:0012ms	Train:0005ms	Mem:1.06Gb	Prec@1:0.5112
[1][550/725]	Loss:2.42738	Lr:0.000000	Data:0015ms	Train:0007ms	Mem:1.06Gb	Prec@1:0.4955
[1][600/725]	Loss:2.95354	Lr:0.000000	Data:0018ms	Train:0036ms	Mem:1.06Gb	Prec@1:0.5015
[1][650/725]	Loss:1.36450	Lr:0.000000	Data:0019ms	Train:0005ms	Mem:1.06Gb	Prec@1:0.4860
[1][700/725]	Loss:1.89569	Lr:0.000000	Data:0012ms	Train:0005ms	Mem:1.06Gb	Prec@1:0.4954
Train Prec@1:0.2870	Val Prec@1:0.4952
BestV Prec@1:0.4952	Best Epoch:1
[2][0/750]	Loss:1.74155	Lr:0.001000	Data:0673ms	Train:0076ms	Mem:1.06Gb	Prec@1:0.5000
[2][150/750]	Loss:2.66809	Lr:0.001000	Data:0001ms	Train:0060ms	Mem:1.06Gb	Prec@1:0.3949
[2][300/750]	Loss:2.13526	Lr:0.001000	Data:0001ms	Train:0104ms	Mem:1.06Gb	Prec@1:0.4095
[2][450/750]	Loss:2.11664	Lr:0.001000	Data:0001ms	Train:0103ms	Mem:1.06Gb	Prec@1:0.4293
[2][600/750]	Loss:1.57794	Lr:0.001000	Data:0001ms	Train:0061ms	Mem:1.06Gb	Prec@1:0.4312
[2][0/725]	Loss:1.06341	Lr:0.000000	Data:0691ms	Train:0008ms	Mem:1.06Gb	Prec@1:0.8750
[2][50/725]	Loss:0.47528	Lr:0.000000	Data:0013ms	Train:0005ms	Mem:1.06Gb	Prec@1:0.7402
[2][100/725]	Loss:2.10106	Lr:0.000000	Data:0022ms	Train:0005ms	Mem:1.06Gb	Prec@1:0.6473
[2][150/725]	Loss:2.11175	Lr:0.000000	Data:0018ms	Train:0005ms	Mem:1.06Gb	Prec@1:0.6258
[2][200/725]	Loss:1.94541	Lr:0.000000	Data:0012ms	Train:0005ms	Mem:1.06Gb	Prec@1:0.6188
[2][250/725]	Loss:3.08519	Lr:0.000000	Data:0014ms	Train:0005ms	Mem:1.06Gb	Prec@1:0.6006
[2][300/725]	Loss:0.03064	Lr:0.000000	Data:0012ms	Train:0005ms	Mem:1.06Gb	Prec@1:0.6321
[2][350/725]	Loss:2.20876	Lr:0.000000	Data:0017ms	Train:0005ms	Mem:1.06Gb	Prec@1:0.6296
[2][400/725]	Loss:1.96017	Lr:0.000000	Data:0017ms	Train:0005ms	Mem:1.06Gb	Prec@1:0.6172
[2][450/725]	Loss:1.40286	Lr:0.000000	Data:0023ms	Train:0039ms	Mem:1.06Gb	Prec@1:0.6100
[2][500/725]	Loss:0.11888	Lr:0.000000	Data:0009ms	Train:0006ms	Mem:1.06Gb	Prec@1:0.6045
[2][550/725]	Loss:3.04216	Lr:0.000000	Data:0013ms	Train:0009ms	Mem:1.06Gb	Prec@1:0.5921
[2][600/725]	Loss:1.80684	Lr:0.000000	Data:0012ms	Train:0005ms	Mem:1.06Gb	Prec@1:0.6005
[2][650/725]	Loss:2.30128	Lr:0.000000	Data:0018ms	Train:0006ms	Mem:1.06Gb	Prec@1:0.5939
[2][700/725]	Loss:0.40170	Lr:0.000000	Data:0012ms	Train:0004ms	Mem:1.06Gb	Prec@1:0.6091
Train Prec@1:0.4358	Val Prec@1:0.6113
BestV Prec@1:0.6113	Best Epoch:2
[3][0/750]	Loss:1.38869	Lr:0.001000	Data:0641ms	Train:0061ms	Mem:1.06Gb	Prec@1:0.6250
[3][150/750]	Loss:1.12600	Lr:0.001000	Data:0001ms	Train:0061ms	Mem:1.06Gb	Prec@1:0.5232
[3][300/750]	Loss:1.85721	Lr:0.001000	Data:0001ms	Train:0065ms	Mem:1.06Gb	Prec@1:0.5224
[3][450/750]	Loss:1.76816	Lr:0.001000	Data:0001ms	Train:0061ms	Mem:1.06Gb	Prec@1:0.5222
[3][600/750]	Loss:2.79433	Lr:0.001000	Data:0001ms	Train:0061ms	Mem:1.06Gb	Prec@1:0.5237
[3][0/725]	Loss:0.86434	Lr:0.000000	Data:0596ms	Train:0007ms	Mem:1.06Gb	Prec@1:0.8750
[3][50/725]	Loss:0.26040	Lr:0.000000	Data:0024ms	Train:0008ms	Mem:1.06Gb	Prec@1:0.7623
[3][100/725]	Loss:0.93604	Lr:0.000000	Data:0012ms	Train:0005ms	Mem:1.06Gb	Prec@1:0.6683
[3][150/725]	Loss:1.47195	Lr:0.000000	Data:0016ms	Train:0005ms	Mem:1.06Gb	Prec@1:0.6507
[3][200/725]	Loss:1.13838	Lr:0.000000	Data:0015ms	Train:0005ms	Mem:1.06Gb	Prec@1:0.6648
[3][250/725]	Loss:2.36599	Lr:0.000000	Data:0030ms	Train:0009ms	Mem:1.06Gb	Prec@1:0.6404
[3][300/725]	Loss:0.15823	Lr:0.000000	Data:0022ms	Train:0006ms	Mem:1.06Gb	Prec@1:0.6649
[3][350/725]	Loss:0.82568	Lr:0.000000	Data:0012ms	Train:0007ms	Mem:1.06Gb	Prec@1:0.6784
[3][400/725]	Loss:1.10178	Lr:0.000000	Data:0017ms	Train:0006ms	Mem:1.06Gb	Prec@1:0.6786
[3][450/725]	Loss:1.04743	Lr:0.000000	Data:0011ms	Train:0011ms	Mem:1.06Gb	Prec@1:0.6621
[3][500/725]	Loss:0.69095	Lr:0.000000	Data:0024ms	Train:0007ms	Mem:1.06Gb	Prec@1:0.6637
[3][550/725]	Loss:2.70263	Lr:0.000000	Data:0012ms	Train:0027ms	Mem:1.06Gb	Prec@1:0.6543
[3][600/725]	Loss:1.03358	Lr:0.000000	Data:0018ms	Train:0005ms	Mem:1.06Gb	Prec@1:0.6683
[3][650/725]	Loss:2.00614	Lr:0.000000	Data:0027ms	Train:0007ms	Mem:1.06Gb	Prec@1:0.6523
[3][700/725]	Loss:0.18235	Lr:0.000000	Data:0012ms	Train:0004ms	Mem:1.06Gb	Prec@1:0.6683
Train Prec@1:0.5232	Val Prec@1:0.6686
BestV Prec@1:0.6686	Best Epoch:3
[4][0/750]	Loss:1.94132	Lr:0.001000	Data:0596ms	Train:0071ms	Mem:1.06Gb	Prec@1:0.6250
[4][150/750]	Loss:1.68929	Lr:0.001000	Data:0001ms	Train:0060ms	Mem:1.06Gb	Prec@1:0.5836
[4][300/750]	Loss:1.34738	Lr:0.001000	Data:0001ms	Train:0060ms	Mem:1.06Gb	Prec@1:0.5685
[4][450/750]	Loss:2.00079	Lr:0.001000	Data:0001ms	Train:0061ms	Mem:1.06Gb	Prec@1:0.5610
[4][600/750]	Loss:1.27441	Lr:0.001000	Data:0001ms	Train:0060ms	Mem:1.06Gb	Prec@1:0.5672
[4][0/725]	Loss:1.93996	Lr:0.000000	Data:0670ms	Train:0006ms	Mem:1.06Gb	Prec@1:0.3750
[4][50/725]	Loss:0.56396	Lr:0.000000	Data:0022ms	Train:0005ms	Mem:1.06Gb	Prec@1:0.7353
[4][100/725]	Loss:0.74196	Lr:0.000000	Data:0012ms	Train:0009ms	Mem:1.06Gb	Prec@1:0.6832
[4][150/725]	Loss:1.59693	Lr:0.000000	Data:0015ms	Train:0005ms	Mem:1.06Gb	Prec@1:0.6631
[4][200/725]	Loss:1.67307	Lr:0.000000	Data:0015ms	Train:0006ms	Mem:1.06Gb	Prec@1:0.6816
[4][250/725]	Loss:3.45223	Lr:0.000000	Data:0023ms	Train:0007ms	Mem:1.06Gb	Prec@1:0.6534
[4][300/725]	Loss:0.08494	Lr:0.000000	Data:0029ms	Train:0005ms	Mem:1.06Gb	Prec@1:0.6790
[4][350/725]	Loss:0.57228	Lr:0.000000	Data:0012ms	Train:0017ms	Mem:1.06Gb	Prec@1:0.6923
[4][400/725]	Loss:0.72281	Lr:0.000000	Data:0017ms	Train:0032ms	Mem:1.06Gb	Prec@1:0.6792
[4][450/725]	Loss:1.15789	Lr:0.000000	Data:0012ms	Train:0005ms	Mem:1.06Gb	Prec@1:0.6721
[4][500/725]	Loss:0.00457	Lr:0.000000	Data:0012ms	Train:0008ms	Mem:1.06Gb	Prec@1:0.6717
[4][550/725]	Loss:0.72765	Lr:0.000000	Data:0037ms	Train:0005ms	Mem:1.06Gb	Prec@1:0.6679
[4][600/725]	Loss:1.38022	Lr:0.000000	Data:0021ms	Train:0006ms	Mem:1.06Gb	Prec@1:0.6751
